contig.name,length,accession,annotation,percent.identity,match.length,evalue,kingdom,virus,taxonomy.number,virus.name,taxonomy,taxonomy.pattern,P18F,W3F,W64F,Y14F,Y17F,Y18F,Y25F,Y41F,Y52F,Y70F,Y7F
k141_778017,433,WBW30778.1,WBW30778.1 polyprotein [Bovine nebovirus],94.4,144,4.29E-83,Viruses,Bovine nebovirus,1661258,Bovine nebovirus,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Caliciviridae|Nebovirus|unclassified Nebovirus|Bovine nebovirus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|genus|no rank|species,0,0,10,0,0,0,0,0,0,0,0
k141_793693,426,WFD61513.1,WFD61513.1 ORF1 [Bovine nebovirus],92.9,141,1.95E-78,Viruses,Bovine nebovirus,1661258,Bovine nebovirus,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Caliciviridae|Nebovirus|unclassified Nebovirus|Bovine nebovirus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|genus|no rank|species,0,0,0,0,0,0,0,17,0,0,0
k141_1733324,482,AYN44882.1,AYN44882.1 polyprotein [Nebovirus sp.],89.2,158,5.13E-91,Viruses,Nebovirus sp.,1986951,Nebovirus sp.,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Caliciviridae|Nebovirus|unclassified Nebovirus|Nebovirus sp.,no rank|superkingdom|clade|kingdom|phylum|class|order|family|genus|no rank|species,0,0,22,0,0,0,0,0,0,0,0
k141_199648,385,AYN44883.1,AYN44883.1 minor capsid protein [Nebovirus sp.],94.5,128,1.19E-77,Viruses,Nebovirus sp.,1986951,Nebovirus sp.,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Caliciviridae|Nebovirus|unclassified Nebovirus|Nebovirus sp.,no rank|superkingdom|clade|kingdom|phylum|class|order|family|genus|no rank|species,0,0,17,0,0,0,0,0,0,0,0
k141_2185557,430,AYN44920.1,"AYN44920.1 RNA-dependent RNA polymerase, partial [Nebovirus sp.]",86.7,143,1.65E-88,Viruses,Nebovirus sp.,1986951,Nebovirus sp.,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Caliciviridae|Nebovirus|unclassified Nebovirus|Nebovirus sp.,no rank|superkingdom|clade|kingdom|phylum|class|order|family|genus|no rank|species,0,0,28,0,0,0,0,0,0,0,0
k141_2379616,498,QYV43527.1,QYV43527.1 polyprotein [Nebovirus sp.],87.9,165,4.43E-93,Viruses,Nebovirus sp.,1986951,Nebovirus sp.,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Caliciviridae|Nebovirus|unclassified Nebovirus|Nebovirus sp.,no rank|superkingdom|clade|kingdom|phylum|class|order|family|genus|no rank|species,0,0,0,0,0,0,0,0,0,13,0
k141_2457371,524,WEY07549.1,WEY07549.1 ORF1 [Nebovirus sp.],87.9,174,1.01E-100,Viruses,Nebovirus sp.,1986951,Nebovirus sp.,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Caliciviridae|Nebovirus|unclassified Nebovirus|Nebovirus sp.,no rank|superkingdom|clade|kingdom|phylum|class|order|family|genus|no rank|species,0,0,12,0,0,0,0,0,0,0,0
k141_2960685,476,WEY07549.1,WEY07549.1 ORF1 [Nebovirus sp.],88,158,8.01E-88,Viruses,Nebovirus sp.,1986951,Nebovirus sp.,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Caliciviridae|Nebovirus|unclassified Nebovirus|Nebovirus sp.,no rank|superkingdom|clade|kingdom|phylum|class|order|family|genus|no rank|species,0,0,0,0,0,0,0,0,0,24,0
k141_1644568,375,YP_009237932.1,YP_009237932.1 p48 [Norovirus GIII],91.1,124,1.16E-82,Viruses,Norovirus GIII,340017,Norovirus GIII,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Caliciviridae|Norovirus|Norwalk virus|Norovirus GIII,no rank|superkingdom|clade|kingdom|phylum|class|order|family|genus|species|clade,0,0,4,0,12,0,0,0,0,0,0
k141_2907627,428,QYV43528.1,QYV43528.1 nonstructural polyprotein [Norovirus GIII],98.6,142,1.03E-88,Viruses,Norovirus GIII,340017,Norovirus GIII,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Caliciviridae|Norovirus|Norwalk virus|Norovirus GIII,no rank|superkingdom|clade|kingdom|phylum|class|order|family|genus|species|clade,0,0,0,0,12,0,0,0,0,0,0
k141_3184437,335,YP_009237936.1,YP_009237936.1 Pro [Norovirus GIII],89.2,111,2.56E-67,Viruses,Norovirus GIII,340017,Norovirus GIII,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Caliciviridae|Norovirus|Norwalk virus|Norovirus GIII,no rank|superkingdom|clade|kingdom|phylum|class|order|family|genus|species|clade,0,4,0,0,0,0,0,0,2,0,0
k141_3277219,371,YP_009237934.1,YP_009237934.1 p22 [Norovirus GIII],94.9,117,2.94E-70,Viruses,Norovirus GIII,340017,Norovirus GIII,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Caliciviridae|Norovirus|Norwalk virus|Norovirus GIII,no rank|superkingdom|clade|kingdom|phylum|class|order|family|genus|species|clade,0,0,0,0,5,0,0,0,0,0,0
k141_3035306,1185,ACO24943.1,ACO24943.1 capsid protein [Bovine enteric calicivirus],71,396,1.29E-195,Viruses,Bovine enteric calicivirus,206156,Bovine enteric calicivirus,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Caliciviridae|Norovirus|Norwalk virus|Norovirus GIII|Bovine enteric calicivirus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|genus|species|clade|no rank,0,0,0,0,0,0,0,0,0,44,0
k141_417654,791,ABP88863.1,ABP88863.1 capsid protein [Bovine enteric calicivirus],95.4,262,1.44E-175,Viruses,Bovine enteric calicivirus,206156,Bovine enteric calicivirus,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Caliciviridae|Norovirus|Norwalk virus|Norovirus GIII|Bovine enteric calicivirus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|genus|species|clade|no rank,0,0,48,0,0,0,0,0,0,0,0
k141_803536,321,ABP88864.1,ABP88864.1 capsid protein [Bovine enteric calicivirus],92.5,107,2.76E-61,Viruses,Bovine enteric calicivirus,206156,Bovine enteric calicivirus,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Caliciviridae|Norovirus|Norwalk virus|Norovirus GIII|Bovine enteric calicivirus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|genus|species|clade|no rank,3,0,0,0,0,0,0,0,0,2,0
k141_898416,683,ACO24943.1,ACO24943.1 capsid protein [Bovine enteric calicivirus],95.8,165,4.98E-104,Viruses,Bovine enteric calicivirus,206156,Bovine enteric calicivirus,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Caliciviridae|Norovirus|Norwalk virus|Norovirus GIII|Bovine enteric calicivirus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|genus|species|clade|no rank,0,0,33,0,0,0,0,0,0,0,0
k141_2647149,737,CAR82667.1,"CAR82667.1 polyprotein, partial [Norovirus bovine/GIII/chimeric/752_3024/2006/NOR]",100,124,6.83E-84,Viruses,Norovirus bovine/GIII/chimeric/752_3024/2006/NOR,568163,Norovirus bovine/GIII/chimeric/752_3024/2006/NOR,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Caliciviridae|Norovirus|Norwalk virus|Norovirus GIII|Norovirus bovine/GIII/chimeric/752_3024/2006/NOR,no rank|superkingdom|clade|kingdom|phylum|class|order|family|genus|species|clade|no rank,0,21,0,0,0,0,0,0,0,0,0
k141_2653994,689,ACY41155.1,ACY41155.1 capsid protein [Norovirus cattle/BV416/2008/BEL],95.1,223,2.12E-154,Viruses,Norovirus cattle/BV416/2008/BEL,687873,Norovirus cattle/BV416/2008/BEL,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Caliciviridae|Norovirus|Norwalk virus|Norovirus isolates|Norovirus cattle/BV416/2008/BEL,no rank|superkingdom|clade|kingdom|phylum|class|order|family|genus|species|no rank|no rank,0,19,0,0,0,0,0,0,0,0,0
k141_421932,371,YP_009552830.1,YP_009552830.1 polyprotein [Marmot norovirus],48.4,122,6.89E-32,Viruses,Marmot norovirus,2161807,Marmot norovirus,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Caliciviridae|Norovirus|unclassified Norovirus|Marmot norovirus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|genus|no rank|species,0,0,0,0,22,0,0,0,0,0,0
k141_1896993,347,ULF99771.1,ULF99771.1 MAG: VP2 [Norovirus sp.],69.3,114,5.19E-41,Viruses,Norovirus sp.,1938392,Norovirus sp.,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Caliciviridae|Norovirus|unclassified Norovirus|Norovirus sp.,no rank|superkingdom|clade|kingdom|phylum|class|order|family|genus|no rank|species,0,0,0,0,14,0,0,0,0,0,0
k141_981340,642,ULF99770.1,ULF99770.1 MAG: VP1 [Norovirus sp.],88.3,213,1.77E-136,Viruses,Norovirus sp.,1938392,Norovirus sp.,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Caliciviridae|Norovirus|unclassified Norovirus|Norovirus sp.,no rank|superkingdom|clade|kingdom|phylum|class|order|family|genus|no rank|species,0,0,0,0,26,0,0,0,0,0,0
k141_1792816,336,BAD52343.1,"BAD52343.1 polyprotein, partial [Calicivirus isolate OKY]",97.3,111,3.01E-64,Viruses,Calicivirus isolate OKY,243551,Calicivirus isolate OKY,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Caliciviridae|unclassified Caliciviridae|Calicivirus isolate OKY,no rank|superkingdom|clade|kingdom|phylum|class|order|family|no rank|species,0,0,0,0,0,0,0,0,0,12,0
k141_1515143,506,YP_213937.1,YP_213937.1 polyprotein [Calicivirus isolate TCG],93.5,168,6.37E-104,Viruses,Calicivirus isolate TCG,243550,Calicivirus isolate TCG,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Caliciviridae|unclassified Caliciviridae|Calicivirus isolate TCG,no rank|superkingdom|clade|kingdom|phylum|class|order|family|no rank|species,0,0,26,0,0,0,0,0,0,0,0
k141_431643,492,ACQ44563.1,ACQ44563.1 polyprotein [Calicivirus pig/AB104/CAN],46.2,145,2.59E-27,Viruses,Calicivirus pig/AB104/CAN,520974,Calicivirus pig/AB104/CAN,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Caliciviridae|unclassified Caliciviridae|St-Valerien swine virus|Calicivirus pig/AB104/CAN,no rank|superkingdom|clade|kingdom|phylum|class|order|family|no rank|species|no rank,0,0,0,0,13,0,0,0,0,0,0
k141_1170292,4001,UVH30892.1,UVH30892.1 polyprotein [Bovine picornavirus],98.2,1310,0,Viruses,Bovine picornavirus,1564115,Bovine picornavirus,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Picornaviridae|Caphthovirinae|Bopivirus|Bopivirus A|Bovine picornavirus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|species|no rank,321,0,0,0,0,1,0,0,0,324,0
k141_1368620,877,YP_010808984.1,YP_010808984.1 3D [Bovine picornavirus],98.2,277,8.44E-203,Viruses,Bovine picornavirus,1564115,Bovine picornavirus,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Picornaviridae|Caphthovirinae|Bopivirus|Bopivirus A|Bovine picornavirus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|species|no rank,145,0,0,0,0,0,0,0,0,0,0
k141_1441026,473,YP_010808977.1,YP_010808977.1 VP1 [Bovine picornavirus],99.4,157,7.38E-107,Viruses,Bovine picornavirus,1564115,Bovine picornavirus,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Picornaviridae|Caphthovirinae|Bopivirus|Bopivirus A|Bovine picornavirus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|species|no rank,0,0,0,0,0,2,0,0,0,26,0
k141_1810805,516,YP_010808965.1,YP_010808965.1 VP1 [Bovine picornavirus],77.8,171,1.36E-87,Viruses,Bovine picornavirus,1564115,Bovine picornavirus,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Picornaviridae|Caphthovirinae|Bopivirus|Bopivirus A|Bovine picornavirus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|species|no rank,0,0,0,0,16,0,0,0,0,0,0
k141_2431278,876,BAS29596.1,BAS29596.1 polyprotein [Bovine picornavirus],87.6,145,1.78E-71,Viruses,Bovine picornavirus,1564115,Bovine picornavirus,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Picornaviridae|Caphthovirinae|Bopivirus|Bopivirus A|Bovine picornavirus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|species|no rank,64,0,0,0,0,0,0,0,0,48,0
k141_2544501,2961,BAS29596.1,BAS29596.1 polyprotein [Bovine picornavirus],97.8,845,0,Viruses,Bovine picornavirus,1564115,Bovine picornavirus,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Picornaviridae|Caphthovirinae|Bopivirus|Bopivirus A|Bovine picornavirus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|species|no rank,571,0,0,0,0,2,0,0,0,0,0
k141_3157243,456,UXG78269.1,UXG78269.1 polyprotein [Bovine picornavirus],94.1,119,4.74E-63,Viruses,Bovine picornavirus,1564115,Bovine picornavirus,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Picornaviridae|Caphthovirinae|Bopivirus|Bopivirus A|Bovine picornavirus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|species|no rank,0,0,0,0,15,0,0,0,0,0,0
k141_3214203,555,YP_010808977.1,YP_010808977.1 VP1 [Bovine picornavirus],99.4,181,4.49E-125,Viruses,Bovine picornavirus,1564115,Bovine picornavirus,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Picornaviridae|Caphthovirinae|Bopivirus|Bopivirus A|Bovine picornavirus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|species|no rank,54,0,0,0,0,0,0,0,0,6,0
k141_3287116,958,UXG78264.1,UXG78264.1 polyprotein [Bovine picornavirus],98.4,313,8.84E-211,Viruses,Bovine picornavirus,1564115,Bovine picornavirus,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Picornaviridae|Caphthovirinae|Bopivirus|Bopivirus A|Bovine picornavirus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|species|no rank,74,0,0,0,0,0,0,0,0,36,0
k141_485568,689,BAS29597.1,BAS29597.1 polyprotein [Bovine picornavirus],99.1,229,4.13E-141,Viruses,Bovine picornavirus,1564115,Bovine picornavirus,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Picornaviridae|Caphthovirinae|Bopivirus|Bopivirus A|Bovine picornavirus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|species|no rank,48,0,0,0,0,4,0,0,0,95,0
k141_636675,3469,BAS29596.1,BAS29596.1 polyprotein [Bovine picornavirus],96.7,762,0,Viruses,Bovine picornavirus,1564115,Bovine picornavirus,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Picornaviridae|Caphthovirinae|Bopivirus|Bopivirus A|Bovine picornavirus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|species|no rank,535,0,0,0,0,8,0,0,0,14,0
k141_642867,396,YP_010808975.1,YP_010808975.1 VP2 [Bovine picornavirus],98.5,131,7.59E-91,Viruses,Bovine picornavirus,1564115,Bovine picornavirus,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Picornaviridae|Caphthovirinae|Bopivirus|Bopivirus A|Bovine picornavirus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|species|no rank,0,0,0,0,0,0,0,0,0,32,0
k141_1178199,751,QQY00279.1,QQY00279.1 polyprotein [Bopivirus sp.],90.4,250,6.06E-145,Viruses,Bopivirus sp.,2804202,Bopivirus sp.,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Picornaviridae|Caphthovirinae|Bopivirus|unclassified Bopivirus|Bopivirus sp.,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|no rank|species,0,0,0,0,0,31,0,0,0,0,0
k141_1454735,698,QQY00279.1,QQY00279.1 polyprotein [Bopivirus sp.],99.6,232,5.80E-153,Viruses,Bopivirus sp.,2804202,Bopivirus sp.,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Picornaviridae|Caphthovirinae|Bopivirus|unclassified Bopivirus|Bopivirus sp.,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|no rank|species,8,0,0,0,0,11,0,0,2,0,0
k141_1974865,406,QQY00279.1,QQY00279.1 polyprotein [Bopivirus sp.],100,135,6.27E-84,Viruses,Bopivirus sp.,2804202,Bopivirus sp.,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Picornaviridae|Caphthovirinae|Bopivirus|unclassified Bopivirus|Bopivirus sp.,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|no rank|species,0,0,0,0,0,18,0,0,0,0,0
k141_1979586,703,QQY00279.1,QQY00279.1 polyprotein [Bopivirus sp.],91.4,233,4.28E-142,Viruses,Bopivirus sp.,2804202,Bopivirus sp.,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Picornaviridae|Caphthovirinae|Bopivirus|unclassified Bopivirus|Bopivirus sp.,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|no rank|species,0,0,0,0,0,46,0,0,0,0,0
k141_2346946,533,QQY00279.1,QQY00279.1 polyprotein [Bopivirus sp.],96.6,177,2.15E-107,Viruses,Bopivirus sp.,2804202,Bopivirus sp.,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Picornaviridae|Caphthovirinae|Bopivirus|unclassified Bopivirus|Bopivirus sp.,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|no rank|species,0,0,0,0,0,23,0,0,0,0,0
k141_2503793,1108,UPG35831.1,"UPG35831.1 polyprotein, partial [Bopivirus sp.]",44.5,366,2.84E-80,Viruses,Bopivirus sp.,2804202,Bopivirus sp.,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Picornaviridae|Caphthovirinae|Bopivirus|unclassified Bopivirus|Bopivirus sp.,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|no rank|species,87,0,0,0,0,0,18,0,0,0,0
k141_2871560,372,UUV61199.1,UUV61199.1 polyprotein [Bopivirus sp.],40,115,2.27E-21,Viruses,Bopivirus sp.,2804202,Bopivirus sp.,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Picornaviridae|Caphthovirinae|Bopivirus|unclassified Bopivirus|Bopivirus sp.,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|no rank|species,27,0,0,0,0,0,0,0,0,0,0
k141_3280160,367,QQY00279.1,QQY00279.1 polyprotein [Bopivirus sp.],98.4,122,1.20E-78,Viruses,Bopivirus sp.,2804202,Bopivirus sp.,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Picornaviridae|Caphthovirinae|Bopivirus|unclassified Bopivirus|Bopivirus sp.,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|no rank|species,0,0,0,0,0,12,0,0,0,0,0
k141_511860,341,QZX63194.1,QZX63194.1 polyprotein [Bopivirus sp.],98.1,54,9.43E-23,Viruses,Bopivirus sp.,2804202,Bopivirus sp.,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Picornaviridae|Caphthovirinae|Bopivirus|unclassified Bopivirus|Bopivirus sp.,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|no rank|species,0,0,0,0,0,20,0,0,0,0,0
k141_522568,512,QQY00321.1,"QQY00321.1 capsid, partial [Bopivirus sp.]",84.1,170,4.49E-102,Viruses,Bopivirus sp.,2804202,Bopivirus sp.,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Picornaviridae|Caphthovirinae|Bopivirus|unclassified Bopivirus|Bopivirus sp.,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|no rank|species,0,0,0,0,0,16,0,0,0,0,0
k141_537926,1002,UPG35831.1,"UPG35831.1 polyprotein, partial [Bopivirus sp.]",56,336,4.18E-110,Viruses,Bopivirus sp.,2804202,Bopivirus sp.,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Picornaviridae|Caphthovirinae|Bopivirus|unclassified Bopivirus|Bopivirus sp.,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|no rank|species,54,0,0,0,0,0,0,0,0,0,0
k141_792152,548,QQY00279.1,QQY00279.1 polyprotein [Bopivirus sp.],90.1,182,1.29E-104,Viruses,Bopivirus sp.,2804202,Bopivirus sp.,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Picornaviridae|Caphthovirinae|Bopivirus|unclassified Bopivirus|Bopivirus sp.,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|no rank|species,0,0,0,0,0,38,0,0,0,0,0
k141_2757972,389,NP_740368.1,NP_740368.1 3D (RNA polymerase) [Equine rhinitis B virus 1],58.1,129,5.61E-42,Viruses,Equine rhinitis B virus 1,47001,Equine rhinitis B virus 1,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Picornaviridae|Caphthovirinae|Erbovirus|Erbovirus A|Equine rhinitis B virus 1,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|species|serotype,20,0,0,0,0,0,0,0,0,0,0
k141_1089218,351,YP_006846318.1,YP_006846318.1 VP2 [hunnivirus A1],93.1,116,6.95E-79,Viruses,hunnivirus A1,1233320,hunnivirus A1,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Picornaviridae|Caphthovirinae|Hunnivirus|Hunnivirus A|hunnivirus A1,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|species|no rank,0,0,0,0,6,0,0,0,0,0,0
