contig.name,length,accession,annotation,percent.identity,match.length,evalue,kingdom,virus,taxonomy.number,virus.name,taxonomy,taxonomy.pattern,P18O,W3O,W64O,Y14O,Y17O,Y18O,Y25O,Y41O,Y52O,Y70O,Y7O
k141_365976,368,ALT13999.1,"ALT13999.1 RNA-dependent RNA polymerase, partial [Bovine astrovirus]",98.4,122,2.26E-84,Viruses,Bovine astrovirus,1435485,Bovine astrovirus,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Stelpaviricetes|Stellavirales|Astroviridae|Mamastrovirus|unclassified Mamastrovirus|Bovine astrovirus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|genus|no rank|species,0,0,0,0,68,16,0,0,0,0,0
k141_393129,371,BAS29608.1,BAS29608.1 ORF1a [Bovine astrovirus],95.1,123,3.63E-72,Viruses,Bovine astrovirus,1435485,Bovine astrovirus,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Stelpaviricetes|Stellavirales|Astroviridae|Mamastrovirus|unclassified Mamastrovirus|Bovine astrovirus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|genus|no rank|species,0,0,0,0,0,6,0,0,0,0,0
k141_423653,393,UIT55515.1,UIT55515.1 ORF1a [Bovine astrovirus],94.7,131,3.89E-77,Viruses,Bovine astrovirus,1435485,Bovine astrovirus,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Stelpaviricetes|Stellavirales|Astroviridae|Mamastrovirus|unclassified Mamastrovirus|Bovine astrovirus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|genus|no rank|species,0,0,0,4,0,0,0,0,0,247,0
k141_479248,323,WDD45039.1,WDD45039.1 ORF1a [Bovine astrovirus],95.3,106,9.32E-58,Viruses,Bovine astrovirus,1435485,Bovine astrovirus,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Stelpaviricetes|Stellavirales|Astroviridae|Mamastrovirus|unclassified Mamastrovirus|Bovine astrovirus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|genus|no rank|species,0,160,0,0,0,8,0,0,0,0,0
k141_561283,560,WDD45030.1,WDD45030.1 ORF1b [Bovine astrovirus],98.9,182,6.89E-133,Viruses,Bovine astrovirus,1435485,Bovine astrovirus,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Stelpaviricetes|Stellavirales|Astroviridae|Mamastrovirus|unclassified Mamastrovirus|Bovine astrovirus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|genus|no rank|species,32,320,0,0,0,18,0,0,0,206,0
k141_8923,350,YP_009010948.1,YP_009010948.1 capsid protein precursor [Bovine astrovirus B76-2/HK],95.7,116,2.26E-65,Viruses,Bovine astrovirus B76-2/HK,1027247,Bovine astrovirus B76-2/HK,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Stelpaviricetes|Stellavirales|Astroviridae|Mamastrovirus|unclassified Mamastrovirus|Bovine astrovirus B76-2/HK,no rank|superkingdom|clade|kingdom|phylum|class|order|family|genus|no rank|species,0,0,0,8,0,0,0,0,0,0,0
k141_100621,1643,QQY02758.1,QQY02758.1 VEGF-like protein [Orf virus],77.1,153,2.34E-73,Viruses,Orf virus,10258,Orf virus,root|Viruses|Varidnaviria|Bamfordvirae|Nucleocytoviricota|Pokkesviricetes|Chitovirales|Poxviridae|Chordopoxvirinae|Parapoxvirus|Orf virus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|species,142,0,0,0,0,0,0,2323,0,0,0
k141_105417,1371,ADY76802.1,ADY76802.1 PP287 [Orf virus],52.7,129,4.08E-30,Viruses,Orf virus,10258,Orf virus,root|Viruses|Varidnaviria|Bamfordvirae|Nucleocytoviricota|Pokkesviricetes|Chitovirales|Poxviridae|Chordopoxvirinae|Parapoxvirus|Orf virus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|species,0,0,0,4,28,150,0,30,0,0,0
k141_123519,1266,ADY76802.1,ADY76802.1 PP287 [Orf virus],74,50,8.13E-13,Viruses,Orf virus,10258,Orf virus,root|Viruses|Varidnaviria|Bamfordvirae|Nucleocytoviricota|Pokkesviricetes|Chitovirales|Poxviridae|Chordopoxvirinae|Parapoxvirus|Orf virus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|species,36,0,0,14,286,153,0,39,0,0,0
k141_134789,3920,AKU76591.1,AKU76591.1 A-type inclusion protein/fusion peptide hybrid [Orf virus],96.3,518,0,Viruses,Orf virus,10258,Orf virus,root|Viruses|Varidnaviria|Bamfordvirae|Nucleocytoviricota|Pokkesviricetes|Chitovirales|Poxviridae|Chordopoxvirinae|Parapoxvirus|Orf virus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|species,2741,0,0,0,0,0,185,21808,0,438,0
k141_138252,982,ADY76686.1,ADY76686.1 PP1 [Orf virus],52.3,107,2.25E-21,Viruses,Orf virus,10258,Orf virus,root|Viruses|Varidnaviria|Bamfordvirae|Nucleocytoviricota|Pokkesviricetes|Chitovirales|Poxviridae|Chordopoxvirinae|Parapoxvirus|Orf virus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|species,0,0,0,2,0,93,0,2,0,0,0
k141_140219,720,ADY76686.1,ADY76686.1 PP1 [Orf virus],56,75,7.21E-18,Viruses,Orf virus,10258,Orf virus,root|Viruses|Varidnaviria|Bamfordvirae|Nucleocytoviricota|Pokkesviricetes|Chitovirales|Poxviridae|Chordopoxvirinae|Parapoxvirus|Orf virus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|species,0,0,0,0,0,40,0,0,0,0,0
k141_140772,543,ADY76802.1,ADY76802.1 PP287 [Orf virus],72.1,43,2.95E-11,Viruses,Orf virus,10258,Orf virus,root|Viruses|Varidnaviria|Bamfordvirae|Nucleocytoviricota|Pokkesviricetes|Chitovirales|Poxviridae|Chordopoxvirinae|Parapoxvirus|Orf virus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|species,0,0,0,0,90,14,0,0,0,0,0
k141_144136,381,AHZ33769.1,AHZ33769.1 transcription termination factor NPH-I [Orf virus],100,63,3.52E-31,Viruses,Orf virus,10258,Orf virus,root|Viruses|Varidnaviria|Bamfordvirae|Nucleocytoviricota|Pokkesviricetes|Chitovirales|Poxviridae|Chordopoxvirinae|Parapoxvirus|Orf virus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|species,18,0,0,0,0,0,0,24,0,0,0
k141_145401,663,ADY76686.1,ADY76686.1 PP1 [Orf virus],65.2,89,3.94E-23,Viruses,Orf virus,10258,Orf virus,root|Viruses|Varidnaviria|Bamfordvirae|Nucleocytoviricota|Pokkesviricetes|Chitovirales|Poxviridae|Chordopoxvirinae|Parapoxvirus|Orf virus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|species,0,0,0,4,0,70,0,4,0,0,0
k141_147141,4899,ADY76686.1,ADY76686.1 PP1 [Orf virus],66.3,95,3.78E-30,Viruses,Orf virus,10258,Orf virus,root|Viruses|Varidnaviria|Bamfordvirae|Nucleocytoviricota|Pokkesviricetes|Chitovirales|Poxviridae|Chordopoxvirinae|Parapoxvirus|Orf virus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|species,102,0,0,95,1033,854,0,92,0,0,0
k141_153905,454,ADY76802.1,ADY76802.1 PP287 [Orf virus],81.6,38,6.12E-13,Viruses,Orf virus,10258,Orf virus,root|Viruses|Varidnaviria|Bamfordvirae|Nucleocytoviricota|Pokkesviricetes|Chitovirales|Poxviridae|Chordopoxvirinae|Parapoxvirus|Orf virus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|species,0,0,0,0,0,34,0,0,0,0,0
k141_165444,458,ADY76686.1,ADY76686.1 PP1 [Orf virus],66.2,74,7.13E-24,Viruses,Orf virus,10258,Orf virus,root|Viruses|Varidnaviria|Bamfordvirae|Nucleocytoviricota|Pokkesviricetes|Chitovirales|Poxviridae|Chordopoxvirinae|Parapoxvirus|Orf virus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|species,0,0,0,0,72,30,0,8,0,0,0
k141_178793,420,ADY76802.1,ADY76802.1 PP287 [Orf virus],51.7,89,3.23E-18,Viruses,Orf virus,10258,Orf virus,root|Viruses|Varidnaviria|Bamfordvirae|Nucleocytoviricota|Pokkesviricetes|Chitovirales|Poxviridae|Chordopoxvirinae|Parapoxvirus|Orf virus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|species,16,0,0,0,0,32,0,0,0,0,0
k141_192870,3828,AIK21838.1,"AIK21838.1 putative interleukin-10, partial [Orf virus]",98.1,52,2.18E-23,Viruses,Orf virus,10258,Orf virus,root|Viruses|Varidnaviria|Bamfordvirae|Nucleocytoviricota|Pokkesviricetes|Chitovirales|Poxviridae|Chordopoxvirinae|Parapoxvirus|Orf virus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|species,88,0,0,185,1150,1600,12,18,0,0,0
k141_212322,437,ADY76686.1,ADY76686.1 PP1 [Orf virus],59.5,84,1.21E-17,Viruses,Orf virus,10258,Orf virus,root|Viruses|Varidnaviria|Bamfordvirae|Nucleocytoviricota|Pokkesviricetes|Chitovirales|Poxviridae|Chordopoxvirinae|Parapoxvirus|Orf virus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|species,0,0,0,4,0,147,0,6,0,0,0
k141_220272,302,WGD01226.1,WGD01226.1 RNA-polymerase subunit RPO147 [Orf virus],93,100,6.35E-53,Viruses,Orf virus,10258,Orf virus,root|Viruses|Varidnaviria|Bamfordvirae|Nucleocytoviricota|Pokkesviricetes|Chitovirales|Poxviridae|Chordopoxvirinae|Parapoxvirus|Orf virus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|species,0,0,0,0,0,0,0,6,0,0,0
k141_249710,496,ADY76802.1,ADY76802.1 PP287 [Orf virus],77.6,49,7.26E-18,Viruses,Orf virus,10258,Orf virus,root|Viruses|Varidnaviria|Bamfordvirae|Nucleocytoviricota|Pokkesviricetes|Chitovirales|Poxviridae|Chordopoxvirinae|Parapoxvirus|Orf virus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|species,0,0,0,0,0,16,0,0,0,0,0
k141_256669,581,ADY76732.1,ADY76732.1 PP57 [Orf virus],95.7,115,4.20E-69,Viruses,Orf virus,10258,Orf virus,root|Viruses|Varidnaviria|Bamfordvirae|Nucleocytoviricota|Pokkesviricetes|Chitovirales|Poxviridae|Chordopoxvirinae|Parapoxvirus|Orf virus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|species,0,0,0,0,0,0,0,41,0,0,0
k141_267402,422,ADY76923.1,ADY76923.1 PP159 [Orf virus],89.6,135,1.35E-74,Viruses,Orf virus,10258,Orf virus,root|Viruses|Varidnaviria|Bamfordvirae|Nucleocytoviricota|Pokkesviricetes|Chitovirales|Poxviridae|Chordopoxvirinae|Parapoxvirus|Orf virus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|species,0,0,0,0,0,0,0,14,0,0,0
k141_2857,490,ADY76686.1,ADY76686.1 PP1 [Orf virus],70.9,55,7.50E-18,Viruses,Orf virus,10258,Orf virus,root|Viruses|Varidnaviria|Bamfordvirae|Nucleocytoviricota|Pokkesviricetes|Chitovirales|Poxviridae|Chordopoxvirinae|Parapoxvirus|Orf virus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|species,20,0,0,0,0,44,0,0,0,0,0
k141_323683,326,ADY76686.1,ADY76686.1 PP1 [Orf virus],67.6,74,1.95E-27,Viruses,Orf virus,10258,Orf virus,root|Viruses|Varidnaviria|Bamfordvirae|Nucleocytoviricota|Pokkesviricetes|Chitovirales|Poxviridae|Chordopoxvirinae|Parapoxvirus|Orf virus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|species,0,0,0,0,54,8,0,0,0,0,0
k141_344076,508,ADY76802.1,ADY76802.1 PP287 [Orf virus],68,50,1.62E-14,Viruses,Orf virus,10258,Orf virus,root|Viruses|Varidnaviria|Bamfordvirae|Nucleocytoviricota|Pokkesviricetes|Chitovirales|Poxviridae|Chordopoxvirinae|Parapoxvirus|Orf virus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|species,0,0,0,3,0,24,0,0,0,0,0
k141_349788,1357,ADY76686.1,ADY76686.1 PP1 [Orf virus],55.1,98,3.00E-21,Viruses,Orf virus,10258,Orf virus,root|Viruses|Varidnaviria|Bamfordvirae|Nucleocytoviricota|Pokkesviricetes|Chitovirales|Poxviridae|Chordopoxvirinae|Parapoxvirus|Orf virus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|species,0,0,0,4,103,187,0,6,0,0,0
k141_351013,714,ADY76802.1,ADY76802.1 PP287 [Orf virus],72.7,55,6.51E-17,Viruses,Orf virus,10258,Orf virus,root|Viruses|Varidnaviria|Bamfordvirae|Nucleocytoviricota|Pokkesviricetes|Chitovirales|Poxviridae|Chordopoxvirinae|Parapoxvirus|Orf virus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|species,0,0,0,2,48,16,0,0,0,0,0
k141_35114,830,ADY76686.1,ADY76686.1 PP1 [Orf virus],75,76,8.45E-30,Viruses,Orf virus,10258,Orf virus,root|Viruses|Varidnaviria|Bamfordvirae|Nucleocytoviricota|Pokkesviricetes|Chitovirales|Poxviridae|Chordopoxvirinae|Parapoxvirus|Orf virus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|species,0,0,0,0,0,94,0,0,0,0,0
k141_357336,682,ADY76802.1,ADY76802.1 PP287 [Orf virus],84.2,38,6.80E-13,Viruses,Orf virus,10258,Orf virus,root|Viruses|Varidnaviria|Bamfordvirae|Nucleocytoviricota|Pokkesviricetes|Chitovirales|Poxviridae|Chordopoxvirinae|Parapoxvirus|Orf virus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|species,14,0,0,0,53,21,0,6,0,0,0
k141_359173,446,ADY76802.1,ADY76802.1 PP287 [Orf virus],68.2,44,2.49E-11,Viruses,Orf virus,10258,Orf virus,root|Viruses|Varidnaviria|Bamfordvirae|Nucleocytoviricota|Pokkesviricetes|Chitovirales|Poxviridae|Chordopoxvirinae|Parapoxvirus|Orf virus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|species,0,0,0,8,18,46,24,0,0,0,0
k141_38801,734,ADY76802.1,ADY76802.1 PP287 [Orf virus],90.9,44,1.81E-18,Viruses,Orf virus,10258,Orf virus,root|Viruses|Varidnaviria|Bamfordvirae|Nucleocytoviricota|Pokkesviricetes|Chitovirales|Poxviridae|Chordopoxvirinae|Parapoxvirus|Orf virus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|species,26,0,0,6,38,49,0,0,0,0,0
k141_393790,790,ADY76802.1,ADY76802.1 PP287 [Orf virus],69.8,43,1.83E-12,Viruses,Orf virus,10258,Orf virus,root|Viruses|Varidnaviria|Bamfordvirae|Nucleocytoviricota|Pokkesviricetes|Chitovirales|Poxviridae|Chordopoxvirinae|Parapoxvirus|Orf virus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|species,0,0,0,0,0,34,0,8,0,0,0
k141_405143,456,ADY76686.1,ADY76686.1 PP1 [Orf virus],75,56,1.07E-17,Viruses,Orf virus,10258,Orf virus,root|Viruses|Varidnaviria|Bamfordvirae|Nucleocytoviricota|Pokkesviricetes|Chitovirales|Poxviridae|Chordopoxvirinae|Parapoxvirus|Orf virus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|species,8,0,0,4,42,134,0,2,0,0,0
k141_407337,1358,ADY76686.1,ADY76686.1 PP1 [Orf virus],67.6,74,6.20E-23,Viruses,Orf virus,10258,Orf virus,root|Viruses|Varidnaviria|Bamfordvirae|Nucleocytoviricota|Pokkesviricetes|Chitovirales|Poxviridae|Chordopoxvirinae|Parapoxvirus|Orf virus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|species,46,0,6,12,50,140,0,14,0,0,0
k141_413788,324,ADY76886.1,ADY76886.1 PP198 [Orf virus],99.1,107,4.63E-65,Viruses,Orf virus,10258,Orf virus,root|Viruses|Varidnaviria|Bamfordvirae|Nucleocytoviricota|Pokkesviricetes|Chitovirales|Poxviridae|Chordopoxvirinae|Parapoxvirus|Orf virus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|species,0,0,0,0,0,0,0,38,0,0,0
k141_416742,636,ADY76686.1,ADY76686.1 PP1 [Orf virus],76,75,8.94E-29,Viruses,Orf virus,10258,Orf virus,root|Viruses|Varidnaviria|Bamfordvirae|Nucleocytoviricota|Pokkesviricetes|Chitovirales|Poxviridae|Chordopoxvirinae|Parapoxvirus|Orf virus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|species,0,0,0,4,2,58,0,0,0,0,0
k141_417,1403,ADY76802.1,ADY76802.1 PP287 [Orf virus],71.4,49,1.47E-13,Viruses,Orf virus,10258,Orf virus,root|Viruses|Varidnaviria|Bamfordvirae|Nucleocytoviricota|Pokkesviricetes|Chitovirales|Poxviridae|Chordopoxvirinae|Parapoxvirus|Orf virus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|species,0,0,0,0,74,122,0,10,0,0,0
k141_419286,1100,ADY76802.1,ADY76802.1 PP287 [Orf virus],59.3,59,4.03E-12,Viruses,Orf virus,10258,Orf virus,root|Viruses|Varidnaviria|Bamfordvirae|Nucleocytoviricota|Pokkesviricetes|Chitovirales|Poxviridae|Chordopoxvirinae|Parapoxvirus|Orf virus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|species,46,0,0,16,0,132,0,11,0,0,0
k141_423339,388,ADY76802.1,ADY76802.1 PP287 [Orf virus],71.7,46,1.18E-15,Viruses,Orf virus,10258,Orf virus,root|Viruses|Varidnaviria|Bamfordvirae|Nucleocytoviricota|Pokkesviricetes|Chitovirales|Poxviridae|Chordopoxvirinae|Parapoxvirus|Orf virus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|species,0,0,0,0,0,21,0,4,0,0,0
k141_443523,498,ADY76686.1,ADY76686.1 PP1 [Orf virus],69.1,68,4.95E-22,Viruses,Orf virus,10258,Orf virus,root|Viruses|Varidnaviria|Bamfordvirae|Nucleocytoviricota|Pokkesviricetes|Chitovirales|Poxviridae|Chordopoxvirinae|Parapoxvirus|Orf virus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|species,2,0,0,2,202,71,2,1,0,0,0
k141_451507,875,ADY76802.1,ADY76802.1 PP287 [Orf virus],84.1,82,1.98E-42,Viruses,Orf virus,10258,Orf virus,root|Viruses|Varidnaviria|Bamfordvirae|Nucleocytoviricota|Pokkesviricetes|Chitovirales|Poxviridae|Chordopoxvirinae|Parapoxvirus|Orf virus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|species,24,1,0,0,32,89,0,4,0,0,0
k141_45179,681,ADY76686.1,ADY76686.1 PP1 [Orf virus],70,60,1.06E-17,Viruses,Orf virus,10258,Orf virus,root|Viruses|Varidnaviria|Bamfordvirae|Nucleocytoviricota|Pokkesviricetes|Chitovirales|Poxviridae|Chordopoxvirinae|Parapoxvirus|Orf virus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|species,0,0,0,4,0,38,0,0,0,0,0
k141_464904,354,ADY76686.1,ADY76686.1 PP1 [Orf virus],70.3,91,8.98E-38,Viruses,Orf virus,10258,Orf virus,root|Viruses|Varidnaviria|Bamfordvirae|Nucleocytoviricota|Pokkesviricetes|Chitovirales|Poxviridae|Chordopoxvirinae|Parapoxvirus|Orf virus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|species,0,0,0,6,2,41,0,0,0,0,0
k141_465113,369,ADY76802.1,ADY76802.1 PP287 [Orf virus],82.1,39,1.14E-14,Viruses,Orf virus,10258,Orf virus,root|Viruses|Varidnaviria|Bamfordvirae|Nucleocytoviricota|Pokkesviricetes|Chitovirales|Poxviridae|Chordopoxvirinae|Parapoxvirus|Orf virus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|species,22,0,0,0,0,15,0,0,0,0,0
